iter	Logloss
0	0.4039944942
1	0.291606978
2	0.2480733573
3	0.2202162556
4	0.2018976117
5	0.1910065416
6	0.183861954
7	0.1793084896
8	0.1754748245
9	0.1697219451
10	0.1671416439
11	0.1640122116
12	0.1620030404
13	0.160129369
14	0.1585727181
15	0.1570633984
16	0.1556901625
17	0.153215221
18	0.1515801241
19	0.1502543613
20	0.1492867237
21	0.1476865843
22	0.1466567769
23	0.1456622552
24	0.1449253268
25	0.1442831112
26	0.1432165738
27	0.1425003326
28	0.1416148458
29	0.1407784178
30	0.1395510668
31	0.138923347
32	0.1383446297
33	0.1377861004
34	0.1374396947
35	0.1369913577
36	0.1363563999
37	0.1355913572
38	0.1350747085
39	0.1347668432
40	0.1342747579
41	0.1337686018
42	0.1332366075
43	0.1327075559
44	0.1323527444
45	0.1319770295
46	0.1314831379
47	0.131025402
48	0.1304463414
49	0.1299525098
50	0.1293904825
51	0.1290975508
52	0.1287490883
53	0.1283583202
54	0.1280074286
55	0.1275474283
56	0.1271801432
57	0.1268050609
58	0.1267191907
59	0.1264534311
60	0.126377525
61	0.1259144742
62	0.1255259192
63	0.1251100891
64	0.1246493749
65	0.124265108
66	0.1242567738
67	0.1238042876
68	0.1234625699
69	0.1234588548
70	0.1234551735
71	0.1234513649
72	0.1234483293
73	0.1234434075
74	0.123194565
75	0.1227410094
76	0.1224018704
77	0.1222729341
78	0.1219495821
79	0.1217210052
80	0.1215089147
81	0.1210679554
82	0.1206386795
83	0.1203035187
84	0.1200413283
85	0.1200332856
86	0.1196439792
87	0.1193531406
88	0.1193466626
89	0.1193356331
90	0.1193296645
91	0.1189738849
92	0.1189713349
93	0.1187389165
94	0.1183866503
95	0.1179875185
96	0.117983127
97	0.1177750852
98	0.1173759413
99	0.1170333387
100	0.1170253575
101	0.1167780471
102	0.1165041498
103	0.1162765751
104	0.1159482116
105	0.1157033281
106	0.1154485365
107	0.1152448445
108	0.1150204762
109	0.1147121736
110	0.1145932187
111	0.1145887852
112	0.1142811443
113	0.1142811015
114	0.1142741391
115	0.1142699978
116	0.1139222061
117	0.1137592301
118	0.1137589912
119	0.1137541373
120	0.1134028181
121	0.1134024983
122	0.1131876387
123	0.1131763044
124	0.1129643489
125	0.1127809498
126	0.1125231903
127	0.1123202386
128	0.1123200117
129	0.1121418292
130	0.1121415377
131	0.1121411992
132	0.1121336335
133	0.1119962922
134	0.1118325874
135	0.1115991941
136	0.1113618936
137	0.1111851891
138	0.1110270799
139	0.1110231826
140	0.1110231313
141	0.1110173546
142	0.1109002353
143	0.1107677863
144	0.110507512
145	0.1103486182
146	0.110091056
147	0.1097166777
148	0.109716624
149	0.109713097
150	0.1094254758
151	0.1094238279
152	0.1094195341
153	0.1094193826
154	0.1092097588
155	0.1090664793
156	0.1090640176
157	0.1088330457
158	0.1088306757
159	0.108708549
160	0.1085299354
161	0.1084230136
162	0.1084199108
163	0.1083368654
164	0.1083367942
165	0.1081956169
166	0.1080533953
167	0.1080490998
168	0.108039013
169	0.1077543113
170	0.1077540536
171	0.1075974547
172	0.1074655692
173	0.1074048136
174	0.1074004046
175	0.1073938555
176	0.1073911006
177	0.107147801
178	0.1071402349
179	0.107136553
180	0.1071339507
181	0.1069471501
182	0.1068094094
183	0.1066016386
184	0.106600039
185	0.106368917
186	0.1063687705
187	0.106258671
188	0.106054256
189	0.1060504317
190	0.1060456933
191	0.1060413335
192	0.1060313967
193	0.105838216
