iter	Passed	Remaining
0	2674	516257
1	5313	510115
2	8315	529424
3	11900	565262
4	15062	569372
5	17829	558650
6	21061	562638
7	24542	570618
8	27855	572585
9	31277	575509
10	34753	578167
11	38210	579521
12	41366	575953
13	44275	569254
14	48041	573297
15	51812	576413
16	54892	571522
17	57270	559976
18	59985	552494
19	62719	545657
20	65395	538732
21	67829	530306
22	70727	525846
23	73217	518621
24	75660	511463
25	78055	504360
26	81689	505264
27	84767	502552
28	88184	501739
29	91157	498325
30	95298	501085
31	98694	499643
32	103179	503391
33	106247	499989
34	108557	493162
35	110986	487107
36	113396	481167
37	115927	475911
38	118413	470618
39	120753	464902
40	123124	459465
41	125465	454067
42	127829	448890
43	130146	443679
44	132452	438563
45	134813	433747
46	137059	428674
47	139360	423888
48	141693	419298
49	143996	414709
50	146320	410270
51	148601	405796
52	150996	401706
53	153509	397988
54	155820	393801
55	158262	390004
56	160619	386051
57	163023	382262
58	165420	378504
59	167803	374760
60	170216	371127
61	172646	367570
62	175088	364072
63	177463	360473
64	179853	356940
65	182375	353698
66	184725	350150
67	191089	354076
68	195362	353916
69	197726	350258
70	200178	346787
71	202777	343595
72	205154	340049
73	207904	337143
74	210321	333709
75	212800	330400
76	215263	327088
77	217877	324022
78	220422	320868
79	223058	317858
80	225498	314584
81	228046	311478
82	230476	308227
83	236822	310124
84	240113	307910
85	242559	304609
86	244918	301221
87	247631	298282
88	250251	295240
89	253058	292422
90	255730	289453
91	258377	286461
92	260822	283258
93	263714	280546
94	266266	277477
95	268914	274517
96	271451	271451
97	274234	268637
98	277488	266276
99	280253	263438
100	282817	260416
101	285854	257829
102	288697	255062
103	292517	253140
104	297617	252265
105	300745	249675
106	303245	246563
107	305677	243409
108	308172	240317
109	310706	237266
110	312957	234013
111	315442	230948
112	318021	227962
113	320758	225093
114	323840	222464
115	327101	219947
116	331603	218234
117	336322	216614
118	338857	213565
119	341937	210861
120	344976	208126
121	347705	205203
122	350588	202372
123	353655	199644
124	356800	196954
125	360100	194339
126	362890	191445
127	365547	188485
128	367841	185346
129	370660	182479
130	372866	179317
131	375181	176221
132	377723	173241
133	380089	170189
134	382672	167241
135	385169	164263
136	387703	161307
137	390268	158369
138	392777	155415
139	395245	152451
140	397392	149374
141	399796	146404
142	402165	143429
143	404572	140476
144	407702	137775
145	410293	134891
146	412677	131944
147	415081	129011
148	417124	125977
149	419599	123082
150	422005	120173
151	424515	117300
152	426986	114421
153	429032	111437
154	432048	108708
155	434874	105930
156	437437	103090
157	440253	100310
158	442612	97430
159	445677	94706
160	448320	91891
161	450882	89063
162	453068	86166
163	455411	83306
164	457394	80390
165	459887	77571
166	462341	74749
167	465272	72006
168	467817	69203
169	470458	66417
170	472644	63572
171	475344	60799
172	478282	58057
173	481125	55301
174	483846	52531
175	487052	49812
176	490088	47070
177	493013	44315
178	495815	41548
179	498947	38807
180	501667	36031
181	504163	33241
182	506529	30447
183	508831	27653
184	511256	24871
185	513621	22091
186	515629	19301
187	518017	16532
188	520393	13767
189	522533	11000
190	524803	8242
191	527057	5490
192	529278	2742
193	532089	0
